Counter: 97 | X: 846 | Y: 725 | Z: 944
Counter: 98 | X: 846 | Y: 725 | Z: 944
Counter: 99 | X: 846 | Y: 725 | Z: 945
Counter: 100 | X: 846 | Y: 725 | Z: 944
Counter: 101 | X: 847 | Y: 725 | Z: 944
Counter: 102 | X: 847 | Y: 725 | Z: 944
Counter: 103 | X: 847 | Y: 725 | Z: 944
Counter: 104 | X: 847 | Y: 725 | Z: 944
Counter: 105 | X: 848 | Y: 724 | Z: 944
Counter: 106 | X: 848 | Y: 724 | Z: 945
Counter: 107 | X: 848 | Y: 725 | Z: 944
Counter: 108 | X: 847 | Y: 725 | Z: 944
Counter: 109 | X: 848 | Y: 725 | Z: 944
Counter: 110 | X: 847 | Y: 725 | Z: 945
Counter: 111 | X: 847 | Y: 725 | Z: 944
Counter: 112 | X: 847 | Y: 725 | Z: 944
Counter: 113 | X: 846 | Y: 725 | Z: 944
Counter: 114 | X: 846 | Y: 724 | Z: 944
Counter: 115 | X: 846 | Y: 725 | Z: 944
Counter: 116 | X: 847 | Y: 725 | Z: 944
Counter: 117 | X: 846 | Y: 724 | Z: 944
Counter: 118 | X: 846 | Y: 724 | Z: 944
Counter: 119 | X: 847 | Y: 724 | Z: 945
Counter: 120 | X: 847 | Y: 724 | Z: 944
Counter: 121 | X: 847 | Y: 724 | Z: 944
Counter: 122 | X: 846 | Y: 725 | Z: 944
Counter: 123 | X: 846 | Y: 724 | Z: 945
Counter: 124 | X: 847 | Y: 724 | Z: 944
Counter: 125 | X: 846 | Y: 724 | Z: 944
Counter: 126 | X: 846 | Y: 724 | Z: 944
Counter: 127 | X: 847 | Y: 725 | Z: 944
Counter: 128 | X: 846 | Y: 724 | Z: 944
Counter: 129 | X: 847 | Y: 725 | Z: 943
Counter: 130 | X: 847 | Y: 725 | Z: 944
Counter: 131 | X: 847 | Y: 725 | Z: 944
Counter: 132 | X: 847 | Y: 725 | Z: 943
Counter: 133 | X: 847 | Y: 725 | Z: 943
Counter: 134 | X: 847 | Y: 725 | Z: 943
Counter: 135 | X: 846 | Y: 725 | Z: 943
Counter: 136 | X: 847 | Y: 725 | Z: 944
Counter: 137 | X: 846 | Y: 725 | Z: 944
Counter: 138 | X: 846 | Y: 724 | Z: 944
Counter: 139 | X: 846 | Y: 724 | Z: 944
Counter: 140 | X: 846 | Y: 724 | Z: 944
Counter: 141 | X: 846 | Y: 725 | Z: 944
Counter: 142 | X: 845 | Y: 724 | Z: 944
Counter: 143 | X: 846 | Y: 724 | Z: 944
Counter: 144 | X: 846 | Y: 725 | Z: 944
Counter: 145 | X: 846 | Y: 724 | Z: 944
Counter: 146 | X: 846 | Y: 724 | Z: 945
Counter: 147 | X: 847 | Y: 724 | Z: 944
Counter: 148 | X: 847 | Y: 724 | Z: 943
Counter: 149 | X: 847 | Y: 725 | Z: 944
Counter: 150 | X: 847 | Y: 725 | Z: 944
Counter: 151 | X: 847 | Y: 724 | Z: 944
Counter: 152 | X: 847 | Y: 724 | Z: 945
Counter: 153 | X: 846 | Y: 724 | Z: 945
Counter: 154 | X: 847 | Y: 724 | Z: 945
Counter: 155 | X: 846 | Y: 725 | Z: 944
Counter: 156 | X: 847 | Y: 725 | Z: 944
Counter: 157 | X: 846 | Y: 725 | Z: 944
Counter: 158 | X: 845 | Y: 725 | Z: 944
Counter: 159 | X: 846 | Y: 725 | Z: 945
Counter: 160 | X: 846 | Y: 725 | Z: 944
Counter: 161 | X: 846 | Y: 725 | Z: 944
Counter: 162 | X: 846 | Y: 725 | Z: 944
Counter: 163 | X: 846 | Y: 725 | Z: 944
Counter: 164 | X: 846 | Y: 725 | Z: 943
Counter: 165 | X: 847 | Y: 725 | Z: 943
Counter: 166 | X: 848 | Y: 725 | Z: 943
