date: 290317, hour: 040749.000
Counter: 144 | X: 1.626330 | Y:1.568239 | Z: 1.279412
Counter: 145 | X: 1.626293 | Y:1.567123 | Z: 1.280788
Counter: 146 | X: 1.626704 | Y:1.567285 | Z: 1.281956
Counter: 147 | X: 1.626336 | Y:1.567614 | Z: 1.281170
Counter: 148 | X: 1.626683 | Y:1.567817 | Z: 1.279412
Counter: 149 | X: 1.626893 | Y:1.567452 | Z: 1.280717
Counter: 150 | X: 1.626810 | Y:1.567984 | Z: 1.281170
Counter: 151 | X: 1.626735 | Y:1.568004 | Z: 1.280919
Counter: 152 | X: 1.626592 | Y:1.567839 | Z: 1.280919
Counter: 153 | X: 1.626729 | Y:1.567554 | Z: 1.281423
Counter: 154 | X: 1.627419 | Y:1.567691 | Z: 1.282049
Counter: 155 | X: 1.626586 | Y:1.567435 | Z: 1.280520
Counter: 156 | X: 1.626336 | Y:1.567196 | Z: 1.281442
Counter: 157 | X: 1.626501 | Y:1.567228 | Z: 1.282473
Counter: 158 | X: 1.625937 | Y:1.567333 | Z: 1.280050
Counter: 159 | X: 1.627779 | Y:1.566627 | Z: 1.280576
Counter: 160 | X: 1.627306 | Y:1.567170 | Z: 1.281103
Counter: 161 | X: 1.626471 | Y:1.567450 | Z: 1.281848
Counter: 162 | X: 1.625733 | Y:1.567726 | Z: 1.281601
Counter: 163 | X: 1.627332 | Y:1.566711 | Z: 1.281033
Counter: 164 | X: 1.627102 | Y:1.567333 | Z: 1.282332
Counter: 165 | X: 1.627097 | Y:1.568210 | Z: 1.282018
Counter: 166 | X: 1.627131 | Y:1.567436 | Z: 1.279765
Counter: 167 | X: 1.627224 | Y:1.567241 | Z: 1.279094
Counter: 168 | X: 1.626817 | Y:1.567391 | Z: 1.280820
Counter: 169 | X: 1.626454 | Y:1.567439 | Z: 1.281712
Counter: 170 | X: 1.627474 | Y:1.566608 | Z: 1.281443
Counter: 171 | X: 1.627024 | Y:1.566461 | Z: 1.280885
Counter: 172 | X: 1.626782 | Y:1.567193 | Z: 1.281336
Counter: 173 | X: 1.627431 | Y:1.566874 | Z: 1.280998
Counter: 174 | X: 1.627783 | Y:1.566148 | Z: 1.280739
Counter: 175 | X: 1.627835 | Y:1.566563 | Z: 1.280874
Counter: 176 | X: 1.627071 | Y:1.567157 | Z: 1.282543
Counter: 177 | X: 1.627560 | Y:1.567621 | Z: 1.281232
Counter: 178 | X: 1.627079 | Y:1.566909 | Z: 1.281215
Counter: 179 | X: 1.627923 | Y:1.566735 | Z: 1.281835
Counter: 180 | X: 1.627187 | Y:1.567499 | Z: 1.281133
Counter: 181 | X: 1.626976 | Y:1.567257 | Z: 1.280748
Counter: 182 | X: 1.627004 | Y:1.567958 | Z: 1.279178
Counter: 183 | X: 1.626700 | Y:1.567945 | Z: 1.279761
Counter: 184 | X: 1.627208 | Y:1.567286 | Z: 1.279484
Counter: 185 | X: 1.627323 | Y:1.567556 | Z: 1.280113
Counter: 186 | X: 1.626776 | Y:1.567469 | Z: 1.280536
Counter: 187 | X: 1.627675 | Y:1.568094 | Z: 1.281201
Counter: 188 | X: 1.626844 | Y:1.567840 | Z: 1.281008
Counter: 189 | X: 1.626631 | Y:1.567671 | Z: 1.282433
Counter: 190 | X: 1.626913 | Y:1.568086 | Z: 1.282564
Counter: 191 | X: 1.626044 | Y:1.568580 | Z: 1.282112
Counter: 192 | X: 1.626519 | Y:1.568730 | Z: 1.281667
Counter: 193 | X: 1.626298 | Y:1.567970 | Z: 1.281717
Counter: 194 | X: 1.626455 | Y:1.568385 | Z: 1.282055
Counter: 195 | X: 1.626249 | Y:1.568047 | Z: 1.279253
Counter: 196 | X: 1.627205 | Y:1.568579 | Z: 1.280090
Counter: 197 | X: 1.626209 | Y:1.568774 | Z: 1.281866
Counter: 198 | X: 1.626651 | Y:1.567738 | Z: 1.281373
Counter: 199 | X: 1.626533 | Y:1.568175 | Z: 1.280119
date: 290317, hour: 040750.000
Counter: 0 | X: 1.629008 | Y:1.565875 | Z: 1.279139
Counter: 1 | X: 1.627956 | Y:1.566498 | Z: 1.280706
Counter: 2 | X: 1.627473 | Y:1.566423 | Z: 1.280356
Counter: 3 | X: 1.626758 | Y:1.566280 | Z: 1.282224
Counter: 4 | X: 1.626977 | Y:1.566950 | Z: 1.280883
Counter: 5 | X: 1.628442 | Y:1.566169 | Z: 1.281146
Counter: 6 | X: 1.627718 | Y:1.567232 | Z: 1.281178
Counter: 7 | X: 1.627448 | Y:1.567495 | Z: 1.281339
Counter: 8 | X: 1.627157 | Y:1.567716 | Z: 1.280922
Counter: 9 | X: 1.627452 | Y:1.566986 | Z: 1.281307
Counter: 10 | X: 1.626327 | Y:1.567545 | Z: 1.280911
Counter: 11 | X: 1.626641 | Y:1.567454 | Z: 1.280507
Counter: 12 | X: 1.626084 | Y:1.567843 | Z: 1.280993
Counter: 13 | X: 1.626259 | Y:1.566564 | Z: 1.280531
Counter: 14 | X: 1.626794 | Y:1.567141 | Z: 1.281506
Counter: 15 | X: 1.626450 | Y:1.567276 | Z: 1.281643
Counter: 16 | X: 1.626453 | Y:1.566463 | Z: 1.281327
Counter: 17 | X: 1.626819 | Y:1.566354 | Z: 1.280145
Counter: 18 | X: 1.628225 | Y:1.567368 | Z: 1.279556
Counter: 19 | X: 1.627350 | Y:1.567849 | Z: 1.280194
Counter: 20 | X: 1.627192 | Y:1.567348 | Z: 1.280812
Counter: 21 | X: 1.626892 | Y:1.567322 | Z: 1.280639
